 time            i(v_i_out)      i(v_i_amp)      v(dac_out)      v(q1)          
 5.12800000e-10  2.03905990e-09  1.78155391e-11  2.63191474e-01  2.52292266e-01 
 5.22800000e-10  2.03904691e-09  1.78132657e-11  2.63191474e-01  2.52376949e-01 
 5.32800000e-10  2.03906217e-09  1.78090371e-11  2.63191474e-01  2.52470363e-01 
 5.42800000e-10  2.03903822e-09  1.78065445e-11  2.63191474e-01  2.52572898e-01 
 5.52800000e-10  2.03905589e-09  1.78018081e-11  2.63191474e-01  2.52684257e-01 
 5.62800000e-10  2.03904509e-09  1.78039362e-11  2.63191474e-01  2.52802437e-01 
 5.72800000e-10  2.03906263e-09  1.78060388e-11  2.63191474e-01  2.52921562e-01 
 5.82800000e-10  2.03904933e-09  1.78099492e-11  2.63191474e-01  2.53028086e-01 
 5.92800000e-10  2.03905479e-09  1.78091402e-11  2.63191474e-01  2.53096677e-01 
 6.02800000e-10  2.03905867e-09  1.77909152e-11  2.63191474e-01  2.53092519e-01 
 6.12800000e-10  2.03905106e-09  1.77203192e-11  2.63191474e-01  2.52990068e-01 
 6.22800000e-10  2.03905859e-09  1.77059950e-11  2.63191474e-01  2.52809627e-01 
 6.32800000e-10  2.03905746e-09  1.76325649e-11  2.63191474e-01  2.52645870e-01 
 6.42800000e-10  2.03905091e-09  1.76008455e-11  2.63191474e-01  2.52642213e-01 
 6.52800000e-10  2.03906173e-09  1.75431151e-11  2.63191474e-01  2.52968191e-01 
 6.62800000e-10  2.03903874e-09  1.74908007e-11  2.63191474e-01  2.53796055e-01 
 6.72800000e-10  2.03906159e-09  1.74282506e-11  2.63191474e-01  2.55287638e-01 
 6.82800000e-10  2.03905510e-09  1.73174338e-11  2.63191474e-01  2.57584205e-01 
 6.92800000e-10  2.03906025e-09  1.72473881e-11  2.63191474e-01  2.60844962e-01 
 7.02800000e-10  2.03905565e-09  1.71719036e-11  2.63191473e-01  2.65221536e-01 
 7.12800000e-10  2.03905395e-09  1.71076148e-11  2.63191473e-01  2.70837120e-01 
 7.22800000e-10  2.03905289e-09  1.69982649e-11  2.63191473e-01  2.77747322e-01 
 7.32800000e-10  2.03904912e-09  1.68982311e-11  2.63191473e-01  2.85936664e-01 
 7.42800000e-10  2.03904867e-09  1.67562595e-11  2.63191473e-01  2.95343636e-01 
 7.52800000e-10  2.03905525e-09  1.66247742e-11  2.63191473e-01  3.05882381e-01 
 7.62800000e-10  2.03905709e-09  1.64516920e-11  2.63191473e-01  3.17453593e-01 
 7.72800000e-10  2.03904209e-09  1.62866475e-11  2.63191473e-01  3.29954310e-01 
 7.82800000e-10  2.03905206e-09  1.60749360e-11  2.63191473e-01  3.43281976e-01 
 7.92800000e-10  2.03905175e-09  1.58853872e-11  2.63191473e-01  3.57341519e-01 
 8.02800000e-10  2.03905192e-09  1.56549588e-11  2.63191473e-01  3.72051068e-01 
 8.12800000e-10  2.03905101e-09  1.54517083e-11  2.63191473e-01  3.87339570e-01 
 8.22800000e-10  2.03904983e-09  1.52069523e-11  2.63191473e-01  4.03140398e-01 
 8.32800000e-10  2.03905106e-09  1.49898477e-11  2.63191473e-01  4.19390256e-01 
 8.42800000e-10  2.03904815e-09  1.47261270e-11  2.63191473e-01  4.36033611e-01 
 8.52800000e-10  2.03904191e-09  1.44965022e-11  2.63191473e-01  4.53030708e-01 
 8.62800000e-10  2.03905590e-09  1.42151603e-11  2.63191473e-01  4.70360497e-01 
 8.72800000e-10  2.03905390e-09  1.39581598e-11  2.63191473e-01  4.88020964e-01 
 8.82800000e-10  2.03905018e-09  1.36527151e-11  2.63191473e-01  5.06026089e-01 
 8.92800000e-10  2.03906210e-09  1.33868523e-11  2.63191473e-01  5.24404866e-01 
 9.02800000e-10  2.03904379e-09  1.31418653e-11  2.63191473e-01  5.43199919e-01 
 9.12800000e-10  2.03906175e-09  1.31397427e-11  2.63191473e-01  5.62468553e-01 
 9.22800000e-10  2.03903914e-09  1.34934256e-11  2.63191473e-01  5.82281942e-01 
 9.32800000e-10  2.03905307e-09  1.46901539e-11  2.63191473e-01  6.02722708e-01 
 9.42800000e-10  2.03904913e-09  1.72925856e-11  2.63191473e-01  6.23871372e-01 
 9.52800000e-10  2.03904507e-09  2.24632783e-11  2.63191473e-01  6.45775325e-01 
 9.62800000e-10  2.03905986e-09  3.21044330e-11  2.63191473e-01  6.68390311e-01 
 9.72800000e-10  2.03905785e-09  5.10047793e-11  2.63191473e-01  6.91503462e-01 
 9.82800000e-10  2.03906439e-09  3.57549409e-11  2.63191473e-01  7.14666178e-01 
 9.92800000e-10  2.03904608e-09  8.89139405e-12  2.63191473e-01  7.37157955e-01 
 1.00280000e-09  2.03906021e-09  3.14800644e-11  2.63191473e-01  7.57985682e-01 
 1.01280000e-09  2.03905790e-09  9.36696334e-12  2.63191473e-01  7.75960878e-01 
 1.02280000e-09  2.03905336e-09  3.25549690e-11  2.63191473e-01  7.89871397e-01 
 1.03280000e-09  2.03904416e-09  9.96861727e-12  2.63191473e-01  7.98509815e-01 
 1.04280000e-09  2.03905489e-09  3.48488111e-11  2.63191473e-01  8.00828166e-01 
 1.05280000e-09  2.03905458e-09  1.17014249e-11  2.63191473e-01  7.95964129e-01 
 1.06280000e-09  2.03905557e-09  3.81613481e-11  2.63191473e-01  7.83210289e-01 
 1.07280000e-09  2.03904476e-09  1.42999565e-11  2.63191473e-01  7.62014731e-01 
 1.08280000e-09  2.03906088e-09  4.27259386e-11  2.63191473e-01  7.31966584e-01 
 1.09280000e-09  2.03903653e-09  2.44413555e-11  2.63191473e-01  6.92797338e-01 
 1.10280000e-09  2.03906007e-09  5.84249701e-11  2.63191473e-01  6.44438415e-01 
 1.11280000e-09  2.03905042e-09  6.89818988e-12  2.63191473e-01  5.87311595e-01 
 1.12280000e-09  2.03905392e-09  4.91498079e-11  2.63191473e-01  5.22083968e-01 
 1.13280000e-09  2.03905801e-09  6.09097892e-12  2.63191473e-01  4.50075305e-01 
 1.14280000e-09  2.03905420e-09  5.06416884e-11  2.63191473e-01  3.73453806e-01 
 1.15280000e-09  2.03903835e-09  6.09215724e-12  2.63191473e-01  2.95070248e-01 
 1.16280000e-09  2.03906170e-09  5.26904855e-11  2.63191473e-01  2.18850856e-01 
 1.17280000e-09  2.03904871e-09  5.98539619e-12  2.63191473e-01  1.51631933e-01 
 1.18280000e-09  2.03907013e-09  5.28581380e-11  2.63191473e-01  1.01885196e-01 
 1.19280000e-09  2.03905291e-09  3.21216321e-12  2.63191473e-01  7.09396863e-02 
 1.20280000e-09  2.03905148e-09  5.19402154e-11  2.63191473e-01  5.32974058e-02 
 1.21280000e-09  2.03906026e-09  1.18630874e-12  2.63191473e-01  4.31342672e-02 
 1.22280000e-09  2.03905196e-09  5.21488867e-11  2.63191473e-01  3.67388951e-02 
 1.23280000e-09  2.03905715e-09 -6.01456547e-14  2.63191473e-01  3.22893103e-02 
 1.24280000e-09  2.03905482e-09  5.27471670e-11  2.63191473e-01  2.89547308e-02 
 1.25280000e-09  2.03905025e-09 -1.11519096e-12  2.63191473e-01  2.63163992e-02 
 1.26280000e-09  2.03905814e-09  5.34232065e-11  2.63191473e-01  2.41712449e-02 
 1.27280000e-09  2.03904766e-09 -2.11603075e-12  2.63191473e-01  2.24048957e-02 
 1.28280000e-09  2.03905576e-09  5.41200672e-11  2.63191473e-01  2.09363272e-02 
 1.29280000e-09  2.03904718e-09 -3.09057012e-12  2.63191473e-01  1.97106867e-02 
 1.30280000e-09  2.03905587e-09  5.48239312e-11  2.63191473e-01  1.86819848e-02 
 1.31280000e-09  2.03905152e-09 -4.04322878e-12  2.63191473e-01  1.78188253e-02 
 1.32280000e-09  2.03905093e-09  5.55265505e-11  2.63191473e-01  1.70920297e-02 
 1.33280000e-09  2.03906711e-09 -4.98080853e-12  2.63191473e-01  1.64826188e-02 
 1.34280000e-09  2.03905149e-09  5.62316146e-11  2.63191473e-01  1.59708326e-02 
 1.35280000e-09  2.03905422e-09 -5.90180602e-12  2.63191473e-01  1.55448831e-02 
 1.36280000e-09  2.03904780e-09  5.69329697e-11  2.63191473e-01  1.51906731e-02 
 1.37280000e-09  2.03906275e-09 -6.80975343e-12  2.63191473e-01  1.49008709e-02 
 1.38280000e-09  2.03904797e-09  5.76304561e-11  2.63191473e-01  1.46649346e-02 
 1.39280000e-09  2.03905539e-09 -7.70477105e-12  2.63191473e-01  1.44783608e-02 
 1.40280000e-09  2.03904246e-09  5.83245111e-11  2.63191473e-01  1.43329314e-02 
 1.41280000e-09  2.03905334e-09 -8.58953067e-12  2.63191473e-01  1.42260152e-02 
 1.42280000e-09  2.03905291e-09  5.90119948e-11  2.63191473e-01  1.41509649e-02 
 1.43280000e-09  2.03905484e-09 -9.46167370e-12  2.63191473e-01  1.41064237e-02 
 1.44280000e-09  2.03904146e-09  5.96953962e-11  2.63191473e-01  1.40868368e-02 
 1.45280000e-09  2.03906001e-09 -1.03239816e-11  2.63191473e-01  1.40917446e-02 
 1.46280000e-09  2.03904401e-09  6.03745805e-11  2.63191473e-01  1.41163496e-02 
 1.47280000e-09  2.03905514e-09 -1.11748836e-11  2.63191473e-01  1.41608406e-02 
 1.48280000e-09  2.03905565e-09  6.10452769e-11  2.63191473e-01  1.42210052e-02 
 1.49280000e-09  2.03905272e-09 -1.20152182e-11  2.63191473e-01  1.42974704e-02 
 1.50280000e-09  2.03905722e-09  6.17123677e-11  2.63191473e-01  1.43864558e-02 
 1.51280000e-09  2.03904850e-09 -1.28481048e-11  2.63191473e-01  1.44889272e-02 
 1.52280000e-09  2.03905715e-09  6.23702241e-11  2.63191473e-01  1.46014262e-02 
 1.53280000e-09  2.03905739e-09 -1.36678438e-11  2.63191473e-01  1.47251780e-02 
 1.54280000e-09  2.03905213e-09  6.30241380e-11  2.63191473e-01  1.48569729e-02 
 1.55280000e-09  2.03905497e-09 -1.44777453e-11  2.63191473e-01  1.49982283e-02 
 1.56280000e-09  2.03905525e-09  6.36729684e-11  2.63191473e-01  1.51459319e-02 
 1.57280000e-09  2.03905755e-09 -1.52801760e-11  2.63191473e-01  1.53016481e-02 
 1.58280000e-09  2.03905402e-09  6.43126171e-11  2.63191473e-01  1.54625223e-02 
 1.59280000e-09  2.03905523e-09 -1.60694157e-11  2.63191473e-01  1.56302315e-02 
 1.60280000e-09  2.03905699e-09  6.49465402e-11  2.63191473e-01  1.58020489e-02 
 1.61280000e-09  2.03905705e-09 -1.68504618e-11  2.63191473e-01  1.59797385e-02 
 1.62280000e-09  2.03905131e-09  6.55739849e-11  2.63191473e-01  1.61606777e-02 
 1.63280000e-09  2.03904715e-09 -1.76226766e-11  2.63191473e-01  1.63466977e-02 
 1.64280000e-09  2.03905866e-09  6.61956075e-11  2.63191473e-01  1.65352623e-02 
 1.65280000e-09  2.03905515e-09 -1.83860449e-11  2.63191473e-01  1.67282540e-02 
 1.66280000e-09  2.03904506e-09  6.68112195e-11  2.63191473e-01  1.69232090e-02 
 1.67280000e-09  2.03905681e-09 -1.91370191e-11  2.63191473e-01  1.71220488e-02 
 1.68280000e-09  2.03905343e-09  6.74194559e-11  2.63191473e-01  1.73223708e-02 
 1.69280000e-09  2.03905804e-09 -1.98819878e-11  2.63191473e-01  1.75261258e-02 
 1.70280000e-09  2.03905215e-09  6.80217766e-11  2.63191473e-01  1.77309634e-02 
 1.71280000e-09  2.03905328e-09 -2.06157069e-11  2.63191473e-01  1.79388558e-02 
